id,country,city,currency,start_date,length,perc_complete,ribbon_cutting_time,end_yr,end_month,end_day,stations,cost
1,CN,Shucheng Chengguanzhen,CNY,5/3/1988,6659.182,74.47,NULL,2009,7,9,94,6956621
2,ID,Karangsari,IDR,12/8/1997,8599.551,81.84,NULL,2019,6,30,41,78558821
3,PH,Bolilao,PHP,7/12/1999,5541.586,65.91,NULL,2018,3,21,65,88026750
4,CN,Qijia,CNY,1/7/2011,2445.464,0.75,NULL,2020,3,19,120,4412502
5,JP,Mooka,JPY,7/6/2003,1590.65,22.71,NULL,1986,5,27,103,55940220
6,ZA,Kathu,ZAR,11/15/1993,3143.64,78.38,NULL,1994,6,18,59,32336108
7,ID,Karangtengah,IDR,11/9/2025,7213.777,47.97,NULL,1992,9,6,120,65826715
8,CN,Fenglin,CNY,3/27/2007,7800.147,92.04,2020-05-18 09:52:20 UTC,2020,4,3,90,5690318
9,NZ,Tairua,NZD,7/17/2018,8735.439,59.12,NULL,1993,10,20,36,85061537
10,FR,Avignon,EUR,5/29/2022,10517.944,55.63,NULL,2029,12,11,56,86012989
11,PL,Domaniewice,PLN,5/14/1986,1630.911,27.22,NULL,2015,10,14,118,28085346
12,PH,Tubigan,PHP,2/27/1983,5494.636,9.58,NULL,2003,12,2,5,32970385
13,ID,Desa Borogojol,IDR,12/28/1984,87.182,53.04,NULL,2026,11,2,25,22507555
14,ID,Fatumnasi,IDR,5/20/1999,3640.502,46.27,NULL,2021,5,30,22,42056799
15,DE,Bremen,EUR,4/5/2024,5283.185,95.77,1998-05-23 08:44:06 UTC,1998,4,8,27,13279743
16,PH,Port Barton,PHP,3/4/2002,8687.267,91.06,2014-01-07 07:58:52 UTC,2013,11,23,31,16452991
17,CN,Wupu,CNY,8/7/1983,11252.842,12.75,NULL,2009,10,4,59,80027358
18,CN,Zhanjiang,CNY,4/22/2020,3407.88,85.34,1992-06-05 21:38:55 UTC,1992,4,21,8,69788884
19,CN,Yangying,CNY,11/22/2008,2262.19,44.04,NULL,2010,9,29,37,3527607
20,CN,Dengjia,CNY,10/23/1992,11736.68,37.42,NULL,2029,11,6,47,3914598
21,ID,Bendo,IDR,7/29/1988,6825.638,74.62,NULL,2024,12,15,60,45395873
22,CL,Viña del Mar,CLP,2/20/2003,8302.638,18.16,NULL,2028,7,27,116,45181797
23,DE,Bochum,EUR,4/5/2021,9273.3,1.55,NULL,1995,9,4,22,79637899
24,UA,Kirovs’k,UAH,2/22/2011,3136.588,76.36,NULL,2005,6,15,28,31312885
25,SE,Köpingsvik,SEK,7/19/1989,11059.74,73.79,NULL,1990,3,15,47,52718161
26,ES,Leon,EUR,4/8/1993,4615.906,10.74,NULL,1988,4,9,42,38501039
27,PL,Kowale Oleckie,PLN,4/21/1984,7795.028,6.01,NULL,2018,12,24,42,77697743
28,AR,Carlos Casares,ARS,12/18/1982,4477.25,6,NULL,2021,12,20,21,74386144
29,MX,La Huerta,MXN,7/6/1991,8973.006,69.97,NULL,2013,6,7,14,54766343
30,CO,Guamal,COP,9/21/2001,6296.893,91.17,2013-11-18 19:04:59 UTC,2013,10,4,118,19773075
31,PH,Mabini,PHP,8/7/2008,8976.577,39.8,NULL,1993,7,20,105,10094491
32,CN,Muyuzi,CNY,9/29/2017,609.275,94.01,1990-09-27 02:30:55 UTC,1990,8,13,85,52310301
33,AM,Dashtavan,AMD,6/15/2007,12152.581,72.14,NULL,2027,5,3,114,13705945
34,CN,Tielu,CNY,8/1/1993,6151.979,36.16,NULL,2020,1,22,54,83046399
35,GT,Sibinal,GTQ,3/5/2016,3300.464,41.54,NULL,2014,5,15,65,19210136
36,GR,Ilioúpoli,EUR,1/10/1998,2582.325,45.28,NULL,2000,6,10,16,825271
37,PE,San Felipe,PEN,8/2/2002,982.818,31.79,NULL,2028,11,13,53,54790094
38,AR,Villa Mercedes,ARS,9/25/1999,8730.482,53.44,NULL,2026,8,2,29,48525079
